Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link472,-0.011112,-0.004229,-0.0054965,0,0,0,0.0057253,5.0904E-07,-6.5047E-08,4.6928E-11,8.2655E-07,-5.7769E-11,8.9322E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link472.STL,1,1,1,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link472.STL,,20-1;25-2,坐标系54,基准轴54,joint5047,revolute,-0.019983,-0.046019,-0.043201,2.712,-1.5708,0,Link50,0,0,-1,0,0,0,0,,,,,,,,
Link431,-0.0028899,-0.0053301,-0.0076678,0,0,0,0.0020853,1.1253E-07,-6.7093E-09,-1.4985E-09,7.7841E-08,-5.6524E-09,8.0107E-08,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link431.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link431.STL,,23-3,坐标系55,基准轴55,joint0043,revolute,-0.027753,-0.01965,-0.04105,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link61,-5.8081E-09,0.00096977,-0.037464,0,0,0,0.010228,4.507E-06,6.4862E-12,2.1739E-12,4.4556E-06,4.1221E-08,2.7622E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link61.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link61.STL,,02-1,坐标系62,基准轴62,joint601,revolute,-0.0093101,0.0068497,-0.0419,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Link62,8.9543E-11,-0.00010713,-0.011318,0,0,0,0.00096478,6.7552E-08,-3.0314E-15,1.5268E-15,6.7216E-08,-5.7659E-10,6.3055E-09,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link62.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link62.STL,,06-1,坐标系63,基准轴63,joint612,prismatic,0,-0.00067089,-0.07088,0,0,0,Link61,0,-0.0094647,-0.99996,0,0,0,0,,,,,,,,
Link63,0.0029993,-0.0080389,-0.016397,0,0,0,0.0090333,1.7692E-06,-4.4344E-12,-5.4693E-11,1.7679E-06,-2.3885E-07,7.8224E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link63.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link63.STL,,30-10;11-1,坐标系64,基准轴64,joint623,revolute,-0.003,-0.0002811,-0.029699,0,0,0,Link62,-1,0,0,0,0,0,0,,,,,,,,
Link64,0.0044999,-0.0081547,-0.022062,0,0,0,0.014494,2.7905E-06,7.3203E-11,2.4362E-11,2.2552E-06,-8.6414E-07,1.2273E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link64.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link64.STL,,14-1,坐标系65,基准轴65,joint634,revolute,-0.0015,-0.017763,-0.038045,0,0,0,Link63,1,0,0,0,0,0,0,,,,,,,,
Link631,0.012881,-0.0019862,0.0029993,0,0,0,0.0090333,7.8224E-07,2.3885E-07,5.4693E-11,1.7679E-06,-4.4344E-12,1.7692E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link631.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link631.STL,,30-10;11-1,坐标系66,基准轴66,joint603,revolute,-0.01231,-0.00015498,-0.146,0,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link65,0.00225,0.0012631,-0.018561,0,0,0,0.00069948,1.2096E-07,-9.2445E-19,5.4764E-18,1.2053E-07,8.49E-09,3.1944E-09,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link65.STL,0.8902,0.8902,0.91373,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link65.STL,,29-6,坐标系67,基准轴67,joint605,revolute,-0.01156,-0.0067159,-0.14129,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Link641,-0.024867,-0.015647,-0.0022499,0,0,0,0.014494,1.2273E-06,-8.6414E-07,-2.4362E-11,2.2552E-06,-7.3203E-11,2.7905E-06,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link641.STL,0.61569,0.64314,0.67451,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link641.STL,,14-1,坐标系68,基准轴68,joint654,revolute,0,0.002343,-0.036425,3.1416,-1.5708,0,Link65,0,0,-1,0,0,0,0,,,,,,,,
Link71,0.0019618,0.0011225,-0.037408,0,0,0,0.010228,4.4954E-06,-3.0443E-09,2.2125E-07,4.4552E-06,5.8174E-08,2.8823E-07,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link71.STL,0.89412,0.91373,0.92941,1,0,0,0,0,0,0,package://inspire_tactile_hand/meshes/Link71.STL,,03-1,坐标系72,基准轴72,joint701,revolute,0.0075691,0.0068497,-0.041418,0,0,0,base_link,0.99863,0,0.05237,0,0,0,0,,,,,,,,
